"Date","AAPL","AMZN","EBAY","FB","GRPN","MSFT","NFLX","TWTR","YELP","YHOO"
"2014-12-09",60208000,4027800,10997600,25268100,13387400,24330500,2568100,20325600,2668700,19604100
"2014-12-10",44565300,3229100,16208500,32078500,9423700,30431800,1806400,16456900,2122900,16130100
"2014-12-11",41401700,3263500,23255200,33396800,8350000,29060400,1679300,15673900,2005000,21024200
"2014-12-12",56028100,3153500,9437500,27998100,19465400,34248400,1931600,15180500,2056400,20354600
"2014-12-15",67218100,3830100,7437100,29308800,10696900,29247800,1717000,16684600,2190600,18101100
"2014-12-16",60790700,6485300,15151900,31421800,11640200,47801400,2421100,19155900,2896800,21276700
"2014-12-17",53411800,4399200,10416900,28973600,20777000,34970900,2873700,18506500,2188700,17002900
"2014-12-18",59006200,7694600,8983200,34085900,32412400,40105600,2227100,19064700,2235700,15285000
"2014-12-19",88429800,8541000,15137800,42977900,20200400,64551200,2107100,15937400,2922400,22996200
"2014-12-22",45167500,3828800,13288500,31269200,9158300,26566000,1142000,20027200,2931700,23980500
"2014-12-23",26028400,2713700,5660300,19823700,11422300,23648100,1184500,16369600,1236700,15459300
"2014-12-24",14479600,1513800,1761400,7664500,4034300,11437800,773000,6254200,588300,5961900
"2014-12-26",33721000,2887500,2858100,10621200,17546100,13197800,1261800,7296200,763000,5169700
"2014-12-29",27598900,2992500,3518400,13957600,10449900,14439500,1226900,13415500,1181500,6598200
"2014-12-30",29881500,109800,368500,983500,906100,16384700,63000,19450200,2336800,820400
"2014-12-31",41403400,2048000,5850700,19935400,6587800,21552500,1178800,17629400,1858000,9269300
